task_name,fault_type,ground_truth_domain,strategy_name,fault_detected,diagnosed_domain,diagnosis_correct,recovery_success,recovery_latency_sec,recovery_cost_tokens,base_task_tokens,cascade_contained,action_taken
Calculator,TOOL_INVALID_ARGS,TOOL_FAILURE,DRAC (Fixed Heuristic),True,TOOL_FAILURE,True,True,2.381606599999941,113,400,True,FIXED_DNCS
Calculator,TOOL_INVALID_ARGS,TOOL_FAILURE,DRAC Full System,True,TOOL_FAILURE,True,True,3.25613919999887,113,400,True,ROLLBACK_WITH_DNCS
Calculator,SCHEMA_MALFORMED_JSON,OUTPUT_SCHEMA_FAILURE,Naive Retry,True,,False,False,1.8400000044493936e-05,20,400,True,RETRY
Calculator,SCHEMA_MALFORMED_JSON,OUTPUT_SCHEMA_FAILURE,Reflexion (In-band),True,,False,True,4.239904400000159,63,400,True,REFLECT_AND_RETRY
Calculator,SCHEMA_MALFORMED_JSON,OUTPUT_SCHEMA_FAILURE,Pure Rollback,True,,False,False,1.4199998986441642e-05,20,400,True,ROLLBACK
Calculator,SCHEMA_MALFORMED_JSON,OUTPUT_SCHEMA_FAILURE,DRAC (Fixed Heuristic),True,TOOL_FAILURE,False,True,1.2509589000001142,113,400,True,FIXED_DNCS
Calculator,SCHEMA_MALFORMED_JSON,OUTPUT_SCHEMA_FAILURE,DRAC Full System,True,TOOL_FAILURE,False,True,2.2440561999992497,113,400,True,ROLLBACK_WITH_DNCS
Calculator,PLAN_CIRCULAR_LOOP,PLANNING_FAILURE,Naive Retry,True,,False,False,1.7899999875226058e-05,20,400,True,RETRY
Calculator,PLAN_CIRCULAR_LOOP,PLANNING_FAILURE,Reflexion (In-band),True,,False,False,0.8000134000001708,63,400,True,REFLECT_AND_RETRY
Calculator,PLAN_CIRCULAR_LOOP,PLANNING_FAILURE,Pure Rollback,True,,False,False,1.4039064999997208,20,400,True,ROLLBACK
Calculator,PLAN_CIRCULAR_LOOP,PLANNING_FAILURE,DRAC (Fixed Heuristic),True,TOOL_FAILURE,False,False,4.914653400001043,113,400,True,FIXED_DNCS
Calculator,PLAN_CIRCULAR_LOOP,PLANNING_FAILURE,DRAC Full System,True,TOOL_FAILURE,False,False,3.261833499998829,113,400,True,ROLLBACK_WITH_DNCS
Calculator,CONTEXT_STALE_STATE,CONTEXT_FAILURE,Naive Retry,True,,False,False,1.320000046689529e-05,20,400,True,RETRY
Calculator,CONTEXT_STALE_STATE,CONTEXT_FAILURE,Reflexion (In-band),True,,False,False,1.0279336000010517,63,400,True,REFLECT_AND_RETRY
Calculator,CONTEXT_STALE_STATE,CONTEXT_FAILURE,Pure Rollback,True,,False,False,3.159134699999413,20,400,True,ROLLBACK
Calculator,CONTEXT_STALE_STATE,CONTEXT_FAILURE,DRAC (Fixed Heuristic),True,TOOL_FAILURE,False,False,3.0931964999999764,113,400,True,FIXED_DNCS
Calculator,CONTEXT_STALE_STATE,CONTEXT_FAILURE,DRAC Full System,True,TOOL_FAILURE,False,False,3.4246285000008356,113,400,True,ROLLBACK_WITH_DNCS
Calculator,COMM_MESSAGE_LOSS,COMMUNICATION_FAILURE,Naive Retry,True,,False,False,2.2515366000006907,20,400,False,RETRY
Calculator,COMM_MESSAGE_LOSS,COMMUNICATION_FAILURE,Reflexion (In-band),True,,False,False,3.318538800000897,63,400,False,REFLECT_AND_RETRY
Calculator,COMM_MESSAGE_LOSS,COMMUNICATION_FAILURE,Pure Rollback,True,,False,False,5.2040227000015875,20,400,False,ROLLBACK
Calculator,COMM_MESSAGE_LOSS,COMMUNICATION_FAILURE,DRAC (Fixed Heuristic),True,TOOL_FAILURE,False,False,2.6040418000011414,113,400,True,FIXED_DNCS
Calculator,COMM_MESSAGE_LOSS,COMMUNICATION_FAILURE,DRAC Full System,True,TOOL_FAILURE,False,False,2.6130976999993436,71,400,True,FALLBACK_TOOL
